player_name,fantasy_team,roster_pos
Baker Mayfield,Vader's Raiders,QB
Jonathan Taylor,Vader's Raiders,RB
Cam Skattebo,Vader's Raiders,RB
Emeka Egbuka,Vader's Raiders,WR
Luther Burden III,Vader's Raiders,WR
Michael Mayer,Vader's Raiders,TE
Jadarian Price,Vader's Raiders,W/R/T
Cairo Santos,Vader's Raiders,K
Patriots,Vader's Raiders,DEF
Brock Bowers,Vader's Raiders,BN
Jordan Mason,Vader's Raiders,BN
Alec Pierce,Vader's Raiders,BN
De'Zhaun Stribling,Vader's Raiders,BN
Michael Pittman Jr.,Vader's Raiders,BN
Malik Willis,Vader's Raiders,BN
Dak Prescott,Belichick Yo'self,QB
Christian McCaffrey,Belichick Yo'self,RB
Rico Dowdle,Belichick Yo'self,RB
George Pickens,Belichick Yo'self,WR
Zay Flowers,Belichick Yo'self,WR
Kyle Pitts Sr.,Belichick Yo'self,TE
TreVeyon Henderson,Belichick Yo'self,W/R/T
Jake Bates,Belichick Yo'self,K
Steelers,Belichick Yo'self,DEF
Jonathon Brooks,Belichick Yo'self,BN
Matthew Golden,Belichick Yo'self,BN
RJ Harvey,Belichick Yo'self,BN
Rashid Shaheed,Belichick Yo'self,BN
Deebo Samuel Sr.,Belichick Yo'self,BN
Tyler Allgeier,Belichick Yo'self,BN
A.J. Brown,Belichick Yo'self,IR
Brock Purdy,CM Skunks,QB
Quinshon Judkins,CM Skunks,RB
Bucky Irving,CM Skunks,RB
Jaxon Smith-Njigba,CM Skunks,WR
Nico Collins,CM Skunks,WR
Tucker Kraft,CM Skunks,TE
Ladd McConkey,CM Skunks,W/R/T
Chase McLaughlin,CM Skunks,K
Lions,CM Skunks,DEF
MarShawn Lloyd,CM Skunks,BN
Brian Thomas Jr.,CM Skunks,BN
Jacory Croskey-Merritt,CM Skunks,BN
Woody Marks,CM Skunks,BN
Wan'Dale Robinson,CM Skunks,BN
Jared Goff,CM Skunks,BN
Caleb Williams,Flippin Phins,QB
Saquon Barkley,Flippin Phins,RB
Kyren Williams,Flippin Phins,RB
Justin Jefferson,Flippin Phins,WR
Christian Watson,Flippin Phins,WR
Colston Loveland,Flippin Phins,TE
J.K. Dobbins,Flippin Phins,W/R/T
Evan McPherson,Flippin Phins,K
Ravens,Flippin Phins,DEF
Carnell Tate,Flippin Phins,BN
Kenny Gainwell,Flippin Phins,BN
KC Concepcion,Flippin Phins,BN
Mike Washington Jr.,Flippin Phins,BN
Juwan Johnson,Flippin Phins,BN
Tyler Shough,Flippin Phins,BN
Joe Burrow,Lynch Mob,QB
Jeremiyah Love,Lynch Mob,RB
Breece Hall,Lynch Mob,RB
Ja'Marr Chase,Lynch Mob,WR
DJ Moore,Lynch Mob,WR
Sam LaPorta,Lynch Mob,TE
DK Metcalf,Lynch Mob,W/R/T
Matt Gay,Lynch Mob,K
Raiders,Lynch Mob,DEF
Josh Jacobs,Lynch Mob,BN
Jakobi Meyers,Lynch Mob,BN
Kenyon Sadiq,Lynch Mob,BN
Jalen Nailor,Lynch Mob,BN
C.J. Stroud,Lynch Mob,BN
Jordyn Tyson,Lynch Mob,IR
Texans,Lynch Mob,BN
Trevor Lawrence,Purple People Eaters,QB
Bijan Robinson,Purple People Eaters,RB
Bhayshul Tuten,Purple People Eaters,RB
Drake London,Purple People Eaters,WR
Chris Olave,Purple People Eaters,WR
Dalton Kincaid,Purple People Eaters,TE
Garrett Wilson,Purple People Eaters,W/R/T
Tyler Loop,Purple People Eaters,K
Vikings,Purple People Eaters,DEF
Tony Pollard,Purple People Eaters,BN
Rome Odunze,Purple People Eaters,BN
Kyle Monangai,Purple People Eaters,BN
Brian Robinson,Purple People Eaters,BN
Romeo Doubs,Purple People Eaters,BN
Tyjae Spears,Purple People Eaters,BN
Lamar Jackson,Redzone,QB
De'Von Achane,Redzone,RB
Travis Etienne Jr.,Redzone,RB
CeeDee Lamb,Redzone,WR
Michael Wilson,Redzone,WR
Travis Kelce,Redzone,TE
Jalen Coker,Redzone,W/R/T
Jason Myers,Redzone,K
Rams,Redzone,DEF
Harold Fannin Jr.,Redzone,BN
Kyler Murray,Redzone,BN
Rachaad White,Redzone,BN
Makai Lemon,Redzone,BN
Tank Bigsby,Redzone,BN
Jonah Coleman,Redzone,BN
Drake Maye,Sun Tzu's Battalion,QB
Kenneth Walker,Sun Tzu's Battalion,RB
Omarion Hampton,Sun Tzu's Battalion,RB
Tee Higgins,Sun Tzu's Battalion,WR
Jaylen Waddle,Sun Tzu's Battalion,WR
Tyler Warren,Sun Tzu's Battalion,TE
Davante Adams,Sun Tzu's Battalion,W/R/T
Ka'imi Fairbairn,Sun Tzu's Battalion,K
Jaguars,Sun Tzu's Battalion,DEF
Mike Evans,Sun Tzu's Battalion,BN
Chris Godwin Jr.,Sun Tzu's Battalion,BN
Jayden Reed,Sun Tzu's Battalion,BN
Chris Rodriguez Jr.,Sun Tzu's Battalion,BN
Matthew Stafford,Sun Tzu's Battalion,BN
KaVontae Turpin,Sun Tzu's Battalion,BN
Jalen Hurts,1ST & SKOL,QB
Jahmyr Gibbs,1ST & SKOL,RB
Ashton Jeanty,1ST & SKOL,RB
Tetairoa McMillan,1ST & SKOL,WR
Quentin Johnston,1ST & SKOL,WR
Dallas Goedert,1ST & SKOL,TE
Javonte Williams,1ST & SKOL,W/R/T
Harrison Mevis,1ST & SKOL,K
Broncos,1ST & SKOL,DEF
Marvin Harrison Jr.,1ST & SKOL,BN
Aaron Jones Sr.,1ST & SKOL,BN
Mark Andrews,1ST & SKOL,BN
Malik Washington,1ST & SKOL,BN
Cyrus Allen,1ST & SKOL,BN
Kaelon Black,1ST & SKOL,BN
Zach Charbonnet,1ST & SKOL,IR
Justin Herbert,Purple Reign,QB
Rhamondre Stevenson,Purple Reign,RB
Jaylen Warren,Purple Reign,RB
Amon-Ra St. Brown,Purple Reign,WR
Puka Nacua,Purple Reign,WR
Trey McBride,Purple Reign,TE
Malik Nabers,Purple Reign,W/R/T
Cameron Dicker,Purple Reign,K
Cowboys,Purple Reign,DEF
Parker Washington,Purple Reign,BN
Blake Corum,Purple Reign,BN
Josh Downs,Purple Reign,BN
Bo Nix,Purple Reign,BN
Isaiah Likely,Purple Reign,BN
Jordan Love,Purple Reign,BN
Josh Allen,My Diggs Curves Left,QB
James Cook III,My Diggs Curves Left,RB
D'Andre Swift,My Diggs Curves Left,RB
Rashee Rice,My Diggs Curves Left,WR
Jameson Williams,My Diggs Curves Left,WR
George Kittle,My Diggs Curves Left,TE
Chuba Hubbard,My Diggs Curves Left,W/R/T
Cam Little,My Diggs Curves Left,K
Eagles,My Diggs Curves Left,DEF
Dalton Schultz,My Diggs Curves Left,BN
Jordan Addison,My Diggs Curves Left,BN
Stefon Diggs,My Diggs Curves Left,BN
Jaxson Dart,My Diggs Curves Left,BN
Keaton Mitchell,My Diggs Curves Left,BN
Khalil Shakir,My Diggs Curves Left,BN
Jayden Daniels,Big Nasty,QB
Derrick Henry,Big Nasty,RB
Chase Brown,Big Nasty,RB
DeVonta Smith,Big Nasty,WR
Terry McLaurin,Big Nasty,WR
Hunter Henry,Big Nasty,TE
David Montgomery,Big Nasty,W/R/T
